_id,A_X,A_Y,A_Z
65e0dd708b10dd494e780647,0.13354,0.03564,1.16504
65e0dd708b10dd494e780648,0.07764,-0.02832,1.16089
65e0dd708b10dd494e780649,0.11670,0.00659,1.16968
65e0dd708b10dd494e78064a,0.11499,0.01855,1.14966
65e0dd708b10dd494e78064b,0.11938,-0.03857,1.16382
65e0dd708b10dd494e78064c,0.13013,0.01196,1.15991
65e0dd708b10dd494e78064d,0.11108,0.02417,1.17358
65e0dd708b10dd494e78064e,0.13062,-0.04712,1.17065
65e0dd708b10dd494e78064f,0.10547,-0.00684,1.15479
65e0dd708b10dd494e780650,0.12061,0.04395,1.17065
65e0dd708b10dd494e780651,0.11011,-0.02515,1.15991
65e0dd708b10dd494e780652,0.11206,0.00293,1.15576
65e0dd708b10dd494e780653,0.11353,0.02539,1.16479
65e0dd708b10dd494e780654,0.10669,-0.00781,1.17261
65e0dd708b10dd494e780655,0.12671,-0.00195,1.15991
65e0dd708b10dd494e780656,0.10596,-0.02100,1.16992
65e0dd708b10dd494e780657,0.09595,0.02441,1.16919
65e0dd708b10dd494e780658,0.13281,0.01025,1.16479
65e0dd708b10dd494e780659,0.06665,0.01050,1.16968
65e0dd708b10dd494e78065a,0.10107,0.03223,1.16577
65e0dd708b10dd494e78065b,0.13477,0.00049,1.15698
65e0dd708b10dd494e78065c,0.08545,-0.00293,1.17651
65e0dd708b10dd494e78065d,0.10205,0.00537,1.16357
65e0dd708b10dd494e78065e,0.13037,0.00708,1.15942
65e0dd708b10dd494e78065f,0.10498,-0.01831,1.16870
65e0dd708b10dd494e780660,0.07593,0.01489,1.16309
65e0dd708b10dd494e780661,0.15698,-0.01392,1.16162
65e0dd708b10dd494e780662,0.13062,0.00146,1.16309
65e0dd708b10dd494e780663,0.08350,-0.00317,1.16284
65e0dd708b10dd494e780664,0.13428,0.00415,1.16235
65e0dd708b10dd494e780665,0.13110,-0.01733,1.17236
65e0dd708b10dd494e780666,0.08862,-0.01563,1.15723
65e0dd708b10dd494e780667,0.11060,0.01270,1.17139
65e0dd708b10dd494e780668,0.12939,0.01001,1.16431
65e0dd708b10dd494e780669,0.11548,-0.03418,1.15942
